County,Population
Albany County,"315,811"
Allegany County,"46,694"
Bronx County,"1,379,946"
Broome County,"197,117"
Cattaraugus County,"76,439"
Cayuga County,"74,998"
Chautauqua County,"126,027"
Chemung County,"81,426"
Chenango County,"46,458"
Clinton County,"78,753"
Columbia County,"61,286"
Cortland County,"46,126"
Delaware County,"44,740"
Dutchess County,"297,545"
Erie County,"950,312"
Essex County,"36,910"
Franklin County,"46,373"
Fulton County,"52,669"
Genesee County,"57,535"
Greene County,"48,061"
Hamilton County,"5,118"
Herkimer County,"59,822"
Jefferson County,"116,637"
Kings County,"2,590,516"
Lewis County,"26,699"
Livingston County,"61,516"
Madison County,"67,097"
Monroe County,"752,035"
Montgomery County,"49,623"
Nassau County,"1,383,726"
New York County,"1,596,273"
Niagara County,"210,880"
Oneida County,"228,846"
Onondaga County,"468,249"
Ontario County,"112,707"
Orange County,"405,941"
Orleans County,"39,318"
Oswego County,"118,287"
Otsego County,"60,636"
Putnam County,"98,045"
Queens County,"2,278,029"
Rensselaer County,"159,853"
Richmond County,"491,133"
Rockland County,"339,022"
Saratoga County,"238,797"
Schenectady County,"160,093"
Schoharie County,"30,063"
Schuyler County,"17,650"
Seneca County,"32,882"
St. Lawrence County,"107,733"
Steuben County,"92,599"
Suffolk County,"1,525,465"
Sullivan County,"79,658"
Tioga County,"47,772"
Tompkins County,"104,777"
Ulster County,"182,319"
Warren County,"65,599"
Washington County,"60,841"
Wayne County,"91,125"
Westchester County,"990,427"
Wyoming County,"39,666"
Yates County,"24,451"